K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   1
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
000547296 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547297 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547298 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547299 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547300 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547301 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547302 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547303 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547304 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547305 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547306 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768

K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   2
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
000547307 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547308 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547309 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547310 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547311 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547312 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547313 05-07-20 001049                                     0.74  14-14-0004                       0000864768
                   001021 60     ACBBOT                       0.74- 14-14-0004                       0000864768
000547336 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547337 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547338 05-07-20 001049                                     0.24  10-06-0230                       0000864768
